index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
276,1.304159,1.606372,MGC,0.435757,0.394021,0.568296,0.632945
277,1.145770,1.486293,MGC,0.620153,0.321248,0.710553,0.477469
278,1.401836,1.680938,MGC,0.424271,0.301163,0.594759,0.506237
279,1.145175,2.359908,MGC,0.848781,0.195538,0.972003,0.461453
280,1.273036,1.207976,HWC,0.796435,0.715337,1.013891,0.864110
281,1.274676,1.367600,MGC,0.454428,0.452500,0.579249,0.618839
282,1.456700,1.476684,MGC,0.538340,0.563508,0.784200,0.832123
283,1.251011,1.395383,MGC,0.574747,0.352243,0.719015,0.491515
284,1.232530,1.226024,HWC,0.615416,0.623673,0.758518,0.764638
285,1.107649,1.369069,MGC,1.173856,0.456547,1.300221,0.625044
286,1.223872,2.089226,MGC,0.907606,0.158775,1.110793,0.331716
287,1.753323,1.598456,HWC,0.300636,0.348955,0.527112,0.557789
288,1.241156,1.513692,MGC,0.659495,0.345652,0.818536,0.523210
289,1.240302,1.326687,MGC,0.429115,0.395050,0.532232,0.524107
290,1.435982,2.256365,MGC,0.437210,0.192999,0.627826,0.435477
291,1.382428,1.994555,MGC,0.643714,0.193956,0.889889,0.386855
292,1.509857,1.323489,HWC,0.360541,0.702891,0.544366,0.930269
293,1.336479,1.498079,MGC,0.585052,0.307393,0.781910,0.460499
294,1.120799,1.936214,MGC,0.847559,0.251059,0.949943,0.486105
295,1.341608,1.789538,MGC,0.487719,0.255878,0.654328,0.457903
296,1.226402,2.005778,MGC,0.723770,0.276312,0.887633,0.554220
297,1.222689,1.741056,MGC,0.628439,0.302690,0.768385,0.527001
298,1.207858,1.904161,MGC,0.712686,0.226257,0.860824,0.430829
299,1.246210,1.435987,MGC,0.753536,0.481316,0.939064,0.691164
300,1.251232,1.813903,MGC,0.733461,0.197961,0.917730,0.359081
301,1.251184,1.616743,MGC,0.532678,0.286362,0.666478,0.462974
302,1.132023,1.521555,MGC,1.120298,0.310789,1.268203,0.472883
303,1.536745,1.437357,HWC,0.308670,0.419624,0.474347,0.603150
304,1.198547,1.350022,MGC,1.182076,0.684901,1.416773,0.924632
305,1.095633,1.988031,MGC,0.835928,0.161500,0.915870,0.321066
306,1.181685,1.403248,MGC,1.017851,0.596794,1.202779,0.837450
307,1.197242,1.500580,MGC,0.635648,0.408235,0.761024,0.612590
308,1.145350,1.643590,MGC,1.220686,0.304680,1.398113,0.500769
309,1.057899,1.485240,MGC,1.159962,0.384993,1.227123,0.571807
310,1.117001,2.365238,MGC,1.113478,0.193913,1.243756,0.458651
311,1.396249,1.713980,MGC,0.397801,0.253090,0.555430,0.433791
312,1.164404,1.659079,MGC,0.869456,0.358725,1.012399,0.595153
313,1.164490,1.442628,MGC,0.969274,0.401233,1.128710,0.578831
314,1.347071,1.818957,MGC,0.469982,0.165853,0.633099,0.301680
315,1.226741,1.569712,MGC,0.594555,0.312163,0.729364,0.490006
316,1.231931,1.228116,HWC,0.699667,0.628586,0.861941,0.771976
317,1.061298,1.581120,MGC,1.232311,0.338995,1.307850,0.535991
318,1.315039,1.343242,MGC,0.493635,0.415332,0.649149,0.557891
319,1.331803,1.485344,MGC,0.445802,0.372826,0.593721,0.553775
320,1.227194,1.746017,MGC,0.751374,0.262468,0.922082,0.458274
321,1.111360,1.614829,MGC,0.749870,0.397462,0.833375,0.641834
322,1.329052,1.709046,MGC,0.549423,0.294280,0.730212,0.502939
323,1.554635,1.644887,MGC,0.407443,0.313355,0.633426,0.515433
324,1.078312,1.292907,MGC,1.311796,0.307844,1.414524,0.398014
325,1.250982,1.327374,MGC,0.779284,0.500138,0.974870,0.663871
326,1.320612,1.733199,MGC,0.560792,0.255739,0.740588,0.443246
327,1.181300,1.206465,MGC,0.864583,0.709251,1.021331,0.855687
328,1.356529,1.849362,MGC,0.553593,0.254712,0.750965,0.471054
329,1.259776,1.490115,MGC,0.614302,0.299502,0.773883,0.446292
330,1.398430,1.458033,MGC,0.370322,0.553710,0.517869,0.807327
331,1.551116,2.178854,MGC,0.344139,0.165219,0.533799,0.359989
332,1.118396,1.541005,MGC,1.061928,0.339502,1.187656,0.523175
333,1.488311,2.067917,MGC,0.601529,0.218569,0.895262,0.451982
334,1.270263,1.653702,MGC,0.687437,0.372487,0.873226,0.615982
335,1.285837,1.581783,MGC,0.443052,0.335844,0.569692,0.531232
336,1.326115,1.750157,MGC,0.584682,0.300089,0.775356,0.525203
337,1.383910,1.723638,MGC,0.415365,0.449361,0.574827,0.774535
338,1.207224,1.686013,MGC,0.872799,0.247835,1.053664,0.417853
339,1.294325,2.354311,MGC,0.526418,0.179183,0.681356,0.421853
340,1.122384,1.596366,MGC,1.212647,0.320939,1.361055,0.512337
341,1.264576,1.670022,MGC,0.681577,0.270152,0.861906,0.451159
342,1.328315,1.908863,MGC,0.379036,0.268051,0.503480,0.511672
343,1.313388,1.573638,MGC,0.435972,0.365241,0.572600,0.574757
344,1.220986,1.516956,MGC,0.626372,0.333216,0.764791,0.505474
345,1.430107,1.646440,MGC,0.549038,0.310925,0.785183,0.511919
346,1.103216,1.338304,MGC,0.874437,0.514849,0.964692,0.689025
347,1.144847,1.460205,MGC,0.812471,0.300665,0.930156,0.439033
348,1.782395,2.295937,MGC,0.250377,0.191620,0.446271,0.439947
349,1.290580,1.504538,MGC,0.567957,0.430837,0.732994,0.648210
350,1.187579,1.579405,MGC,0.726672,0.318446,0.862981,0.502956
351,1.433003,2.138657,MGC,0.692371,0.201284,0.992169,0.430477
352,1.323624,1.504954,MGC,0.529939,0.394861,0.701440,0.594247
353,1.100488,1.709673,MGC,1.476797,0.319523,1.625198,0.546280
354,1.153108,1.772381,MGC,1.101724,0.360923,1.270406,0.639692
355,1.195429,1.829627,MGC,0.809238,0.324104,0.967386,0.592990
356,1.261890,1.666997,MGC,0.671954,0.396273,0.847932,0.660586
